SPKID,SubjectID
CBK91049,32009
CBK91049,32011
CBK91049,32118
CBK91049,32516
CBK91049,32520
CBK91049,32524
CBK91049,32548
CBK91049,42027
CBK91049,42891
CBK91050,32113
CBK91050,32130
CBK91050,32567
CBK91050,42028
CBK91050,42177
CBK91050,42850
CBK91050,42904
CBK91050,42913
CBK91051,32003
CBK91051,32027
CBK91051,32405
CBK91051,32509
CBK91051,42017
CBK91051,95564
CBK91051,95569
CBK91052,32509
CBK91052,32516
CBK91052,32549
CBK91052,32569
CBK91052,32571
CBK91052,32603
CBK91052,32998
CBK91052,42017
CBK91052,42889
CBK91052,42913
CBK91055,32558
CBK91055,32559
CBK91055,32560
CBK91055,32569
CBK91055,32601
CBK91055,32990
CBK91055,42900
CBK91055,49003
CBK91055,49680
CBK91056,32009
CBK91056,32011
CBK91056,32118
CBK91056,32516
CBK91056,32520
CBK91056,32524
CBK91056,32548
CBK91056,42027
CBK91056,42891
CBK91057,32113
CBK91057,32130
CBK91057,32567
CBK91057,42028
CBK91057,42850
CBK91057,42904
CBK91058,32027
CBK91058,32405
CBK91058,32509
CBK91058,42017
CBK91058,95564
CBK91058,95569
CBK91059,32509
CBK91059,32569
CBK91059,32571
CBK91059,32603
CBK91059,42017
CBK91167,37161
CBK91167,37181
CBK91167,37233
CBK91167,37234
CBK91167,37242
CBK91167,37252
CBK91167,37262
CBK91167,37335
CBK91168,23569
CBK91168,23570
CBK91170,37233
CBK91170,37234
CBK91170,37252
CBK91170,37335
CBK91170,37336
CBK91173,37161
CBK91173,37233
CBK91173,37252
CBK91186,23911
CBK91186,23912
CBK91186,23991
CBK91186,23992
CBK91186,23993
CBK91186,23994
CBK91186,23995
CBK91186,23996
CBK91186,23997
CBK91186,23998
CBK91201,42012
CBK91201,42912
CBK91201,42991
CBK91201,49028
CBK91201,49049
CBK91201,49116
CBK91201,49123
CBK91201,49125
CBK91201,49127
CBK91201,49257
CBK91202,41001
CBK91202,41889
CBK91202,41900
CBK91203,31250
CBK91203,31253
CBK91203,31260
CBK91209,21702
CBK91209,21741
CBK91209,21811
CBK91209,21926
CBK91209,22747
CBK91209,25741
CBK91209,25742
CBK91209,77740
CBK91209,78113
CBK91209,78216
CBK91209,78244
CBK91209,78246
CBK91209,78725
CBK91209,78726
CBK91209,79771
CBK91218,20103
CBK91218,20300
CBK91218,20510
CBK91218,21512
CBK91219,20103
CBK91219,20107
CBK91219,21512
CBK91232,31250
CBK91232,41092
CBK91232,48430
CBK91235,15115
CBK91235,15314
CBK91235,15317
CBK91235,15325
CBK91235,15327
CBK91235,15328
CBK91235,15336
CBK91235,15346
CBK91235,15348
CBK91235,15360
CBK91235,15362
CBK91235,15364
CBK91260,49001
CBK91260,49003
CBK91260,49098
CBK91260,49309
CBK91269,70106
CBK91269,77716
CBK91269,77745
CBK91269,77889
CBK91269,77898
CBK91269,77903
CBK91269,77930
CBK91269,78026
CBK91269,78126
CBK91269,78153
CBK91269,78184
CBK91269,78260
CBK91269,78266
CBK91269,78284
CBK91269,78292
CBK91269,79771
CBK91728,76019
CBK91728,76040
CBK91728,76056
CBK91728,76063
CBK91728,76070
CBK91728,76084
CBK91728,76085
CBK91728,76087
CBK91728,76089
CBK91728,76090
CBK91728,76097
CBK91728,76105
CBK91728,76113
CBK91728,76114
CBK91730,76040
CBK91730,76090
CBK91733,42071
CBK91739,42079
CBK91742,41033
CBK91742,41034
CBK91742,48441
CBK91742,48520
CBK91743,32309
CBK91743,32310
CBK91743,32524
CBK91743,42000
CBK91743,42035
CBK91743,42036
CBK91743,42037
CBK91743,42891
CBK91743,42904
CBK91744,32309
CBK91744,32310
CBK91744,32524
CBK91744,32547
CBK91744,32548
CBK91744,42000
CBK91744,42035
CBK91744,42036
CBK91744,42037
CBK91744,42891
CBK91744,42904
CBK91744,49016
CBK91745,32309
CBK91745,32310
CBK91745,32524
CBK91745,42000
CBK91745,42035
CBK91745,42036
CBK91745,42037
CBK91745,42891
CBK91745,42904
CBK91746,32547
CBK91746,32548
CBK91747,32309
CBK91747,42000
CBK91747,42035
CBK91747,42036
CBK91747,42037
CBK91747,42891
CBK91747,42904
CBK91747,49202
CBK91748,32309
CBK91748,42000
CBK91748,42035
CBK91748,42036
CBK91748,42037
CBK91748,42891
CBK91748,42904
CBK91748,49202
CBK91754,11176
CBK91754,11177
CBK91754,11186
CBK91755,11129
CBK91755,11170
CBK91755,11174
CBK91755,11180
CBK91755,11183
CBK91757,96804
CBK91757,96806
CBK91757,96817
CBK91757,96824
CBK91757,96825
CBK91757,96826
CBK91757,96827
CBK91757,96828
CBK91757,96829
CBK91763,60113
CBK91766,15315
CBK91766,60102
CBK91766,60105
CBK91766,60106
CBK91766,60109
CBK91766,60116
CBK91766,60117
CBK91766,60119
CBK91766,68109
CBK91767,65020
CBK91768,57222
CBK91768,57225
CBK91768,57226
CBK91768,57227
CBK91768,57228
CBK91768,57230
CBK91768,57231
CBK91768,57232
CBK91768,57233
CBK91768,57235
CBK91768,57236
CBK91768,57303
CBK91768,59356
CBK91768,59721
CBK91769,57225
CBK91769,57228
CBK91769,57232
CBK91769,57235
CBK91770,57142
CBK91770,57222
CBK91770,57227
CBK91770,57236
CBK91771,57230
CBK91771,57231
CBK91771,57233
CBK91771,57303
CBK91772,57142
