SPKID,SPKID2
CBK91781,STM91306
CBK91781,STM91307
CBK91781,STM91308
CBK91781,STM91309
CBK91781,STM91718
CBK91785,CBK90861
CBK91786,SMJ02064
CBK91786,SMJ02065
CBK91786,SMJ02067
CBK91786,SMJ03036
CBK91786,SMJ03037
CBK91786,SMJ10188
CBK91786,SMJ10189
CBK91786,SMJ10190
CBK91786,SMJ10196
CBK91791,CBK91793
CBK91791,STM91056
CBK91791,STM91057
CBK91791,STM91059
CBK91795,STM91329
CBK91795,STM91330
CBK91795,STM91331
CBK91795,STM91332
CBK91796,STM91333
CBK91796,STM91334
CBK91796,STM91336
CBK91796,STM91337
CBK91796,STM91338
CBK91797,MAJ07107
CBK91797,MAJ07108
CBK91797,MAJ07109
CBK91797,MAJ07110
CBK91798,MAJ07111
CBK91798,MAJ07112
CBK91798,MAJ07113
CBK91798,MAJ07115
CBK91798,MAJ07116
CBK91798,MAJ07117
CBK91799,MAJ07118
CBK91799,MAJ07119
CBK91802,STM91344
CBK91802,STM91345
CBK91803,CBK91804
CBK91803,STM91346
CBK91803,STM91347
CBK91803,STM91348
CBK91803,STM91349
CBK91803,STM91350
CBK91803,STM91351
CBK91803,STM91352
CBK91806,CBK91804
CBK91806,STM91346
CBK91806,STM91347
CBK91806,STM91348
CBK91806,STM91349
CBK91806,STM91350
CBK91806,STM91351
CBK91806,STM91352
CBK91819,CBK91818
CBK91823,STM91378
CBK91826,CBK92240
CBK91837,STM91385
CBK91837,STM91386
CBK91848,CBK91846
CBK91850,CBK91849
CBK91850,CBK91854
CBK91850,SMJ01052
CBK91850,SMJ01053
CBK91850,SMJ02038
CBK91850,SMJ08037
CBK91850,SMJ08038
CBK91850,SMJ08066
CBK91850,SMJ08075
CBK91850,SMJ08098
CBK91850,SMJ08148
CBK91850,SMJ08153
CBK91850,SMJ08155
CBK91850,SMJ08184
CBK91850,SMJ08201
CBK91850,SMJ08202
CBK91850,SMJ08207
CBK91850,SMJ08208
CBK91850,SMJ08209
CBK91850,SMJ08213
CBK91850,SMJ09035
CBK91850,SMJ09037
CBK91850,SMJ10087
CBK91850,SMJ10099
CBK91850,SMJ10103
CBK91850,SMJ10104
CBK91850,SMJ10105
CBK91850,SMJ10106
CBK91850,SMJ10107
CBK91850,SMJ10108
CBK91850,SMJ10109
CBK91850,SMJ10110
CBK91850,SMJ10111
CBK91850,SMJ10112
CBK91850,SMJ10113
CBK91850,SMJ10118
CBK91850,SMJ10122
CBK91850,SMJ10123
CBK91850,SMJ10148
CBK91850,SMJ10151
CBK91851,STM91388
CBK91851,STM91389
CBK91856,CBK91857
CBK91856,CBK91858
CBK91856,CBK91859
CBK91856,CBK91860
CBK91856,CBK91861
CBK91856,CBK91862
CBK91866,STM91398
CBK91866,STM91399
CBK91866,STM91400
CBK91866,STM91401
CBK91868,CBK91849
CBK91868,CBK91869
CBK91868,SMJ01052
CBK91868,SMJ01053
CBK91868,SMJ02038
CBK91868,SMJ08037
CBK91868,SMJ08038
CBK91868,SMJ08066
CBK91868,SMJ08075
CBK91868,SMJ08098
CBK91868,SMJ08148
CBK91868,SMJ08153
CBK91868,SMJ08155
CBK91868,SMJ08184
CBK91868,SMJ08201
CBK91868,SMJ08202
CBK91868,SMJ08207
CBK91868,SMJ08208
CBK91868,SMJ08209
CBK91868,SMJ08213
CBK91868,SMJ09035
