CourseID,SPKID
C10026,STM90273
C10066,CBK90178
C10066,CBK90228
C10066,STM90356
C10122,STM91471
C10122,STM91472
C10123,CBK92057
C10123,STM91471
C10124,CBK90923
C10124,CBK91729
C10124,CBK92069
C10124,CBK92210
C10124,STM90832
C10125,CBK90169
C10125,STM90273
C10125,STM90691
C10126,CBK90585
C10126,STM90691
C10129,CBK92057
C10129,STM90691
C10131,CBK92146
C10131,STM90691
C10131,STM91714
C10136,CBK90178
C10136,STM90356
C10136,STM90691
C10143,CBK90571
C10143,CBK91786
C10143,STM90651
C10143,STM91312
C10143,STM91313
C10148,CBK90781
C10148,CBK90782
C10148,STM90651
C10162,CBK90169
C10162,CBK90585
C10162,STM90273
C10163,CBK90169
C10163,CBK92146
C10163,STM90273
C10163,STM91714
C10167,CBK90232
C10167,CBK92057
C10167,CBK92144
C10167,STM90680
C10169,CBK90169
C10169,CBK92138
C10169,STM90273
C10169,STM91711
C10172,CBK92139
C10184,CBK92137
C10184,CBK92144
C10184,STM90680
C10209,MAJ07100
C10209,MAJ07101
C10209,MAJ07102
C10209,MAJ07103
C10214,CBK92218
C10214,STM90373
C10215,CBK92057
C10215,CBK92218
C10215,STM90373
C10219,CBK90169
C10219,CBK90781
C10219,STM90273
C10219,STM90651
C10223,CBK90232
C10223,STM91002
C10223,STM91514
C10225,STM90744
C10225,STM90745
C10225,STM90746
C10226,CBK90812
C10226,CBK90813
C10226,STM90850
C10228,CBK90232
C10228,STM91002
C10228,STM91568
C10229,CBK92188
C10229,STM90651
C10229,STM91759
C10235,CBK90186
C10235,MAJ08437
C10235,STM90285
C10239,CBK90781
C10239,CBK90782
C10239,CBK92057
C10239,STM90651
C10242,CBK90653
C10243,CBK90653
C10243,CBK92057
C10245,CBK90781
C10245,STM90651
C10245,STM90691
C10271,CBK90823
C10271,STM91203
C10272,CBK90823
C10272,CBK92057
C10272,STM91203
C10276,CBK92109
C10276,MAJ10062
C10276,STM91648
C10277,CBK92057
C10277,CBK92109
C10277,MAJ10062
C10277,STM91648
C10278,CBK90169
C10278,STM90273
C10278,STM91772
C10278,STM91773
C10300,CBK90911
C10300,STM90825
C10301,CBK90915
C10301,STM90829
C10302,CBK90911
C10302,CBK92057
C10302,STM90825
C10303,CBK90915
C10303,CBK92057
C10303,STM90829
C10304,CBK91878
C10304,STM91424
C10304,STM91425
C10305,CBK91878
C10305,CBK92057
C10305,STM91424
C10305,STM91425
C10306,CBK91878
C10306,STM91424
C10306,STM91426
C10307,CBK91878
C10307,CBK92057
C10307,STM91424
C10307,STM91426
C10308,CBK91878
C10308,STM91424
C10308,STM91427
C10309,CBK91878
C10309,CBK92057
C10309,STM91424
C10309,STM91427
C10310,CBK92221
C10310,STM90820
C10320,CBK92057
C10320,CBK92221
C10320,STM90820
C10321,CBK91878
C10321,STM90839
C10321,STM91424
C10321,STM91426
C10322,CBK90823
C10322,STM90839
C10322,STM91203
C10323,CBK91878
C10323,STM90839
C10323,STM91424
C10323,STM91425
C10324,CBK91878
C10324,STM90839
C10324,STM91424
C10324,STM91427
C10325,CBK91801
C10325,STM90839
C10325,STM91342
C10326,CBK90679
C10326,STM90273
C10326,STM90839
C10327,CBK90781
